ITEM_NUM;ID_PRO;ID_NOTA;ID_SEC;QTD_PRO;PRE_UNIT;TOTAL_ITEM;EST_LIN
1;3730;1952;1;20;2,97;59,4;0
1;3732;2248;4;36;7;252;0
1;3732;2661;4;10;8;80;0
1;3732;2665;6;20;8;160;0
1;3746;2669;6;3;25;75;0
1;3754;2696;3;20;19,45;389;0
1;3884;2155;6;15;68;1020;0
1;3887;2465;6;50;5,9;295;0
1;3889;2837;6;30;15;450;0
1;3925;2595;6;120;3,5;420;0
1;3960;2134;6;25;68;1700;0
1;4059;2034;3;1;45;45;0
1;4060;2702;3;240;5;1200;0
1;4122;2705;3;120;23;2760;0
1;4125;2560;3;96;1,58;151,68;0
1;4126;2285;1;60;1,6;96;0
1;4126;2588;1;3;52,5;157,5;0
1;4128;2414;3;60;2,99;179,4;0
1;4143;2528;1;50;14,9;745;0
1;4236;2425;1;50;14,9;745;0
