ID_MOVI;ID_PRO;ID_SEC;ID_REQ;ID_NOTA;PRE_UNIT;QTD_PRO;SALDO;EST_ANT;TIPO_MOV;MES_MOV;ANO_MOV;DATA_MOV;ID_SET
15543;5558;6;1197;;1,75;2;0;2;-1;2;2010;19/02/2010;7
15544;5562;6;1197;;0,8;5;0;5;-1;2;2010;19/02/2010;7
15545;5662;6;1197;;6,5;2;0;2;-1;2;2010;19/02/2010;7
15546;5521;4;1198;;159;6;9;15;-1;2;2010;18/02/2010;5
15547;3037;4;1199;;140;0,001;0;0,001;-1;2;2010;22/02/2010;5
15548;4815;3;1200;;1,28;90;90;180;-1;2;2010;22/02/2010;4
15549;2573;3;1200;;1,5;79;100;179;-1;2;2010;22/02/2010;4
15550;4660;3;1200;;6,33;194;0;194;-1;2;2010;22/02/2010;4
15551;2575;3;1200;;1,5;99;0;99;-1;2;2010;22/02/2010;4
15552;4671;3;1200;;1,5;40;0;40;-1;2;2010;22/02/2010;4
15553;4672;3;1200;;10,2;35;0;35;-1;2;2010;22/02/2010;4
15554;4818;3;1200;;0,98;40;0;40;-1;2;2010;22/02/2010;4
15555;4687;3;1200;;0,65;16;0;16;-1;2;2010;22/02/2010;4
15556;4134;3;1200;;3,5;10;0;10;-1;2;2010;22/02/2010;4
15557;4382;3;1200;;2,5;72;60;132;-1;2;2010;22/02/2010;4
15558;4069;3;1200;;2;50;0;50;-1;2;2010;22/02/2010;4
15559;5521;4;1201;;159;9;0;9;-1;3;2010;17/03/2010;5
15560;5670;5;;1253;100;4;4;0;0;3;2010;01/03/2010;
15561;5671;5;;1253;250;1;1;0;0;3;2010;01/03/2010;
15562;5672;5;;1253;15;15;15;0;0;3;2010;01/03/2010;
15563;5673;5;;1253;130;1;1;0;0;3;2010;01/03/2010;
15564;5670;5;1202;;100;4;0;4;-1;3;2010;01/03/2010;8
15565;5671;5;1202;;250;1;0;1;-1;3;2010;01/03/2010;8
15566;5672;5;1202;;15;15;0;15;-1;3;2010;01/03/2010;8
15567;5673;5;1202;;130;1;0;1;-1;3;2010;01/03/2010;8
15568;5663;5;;1254;8;30;30;0;0;3;2010;30/03/2010;
15569;5664;5;;1254;60;15;15;0;0;3;2010;30/03/2010;
15570;5665;5;;1254;8;30;30;0;0;3;2010;30/03/2010;
15571;5666;5;;1254;60;3;3;0;0;3;2010;30/03/2010;
15572;5667;5;;1254;20;20;20;0;0;3;2010;30/03/2010;
15573;5668;5;;1254;90;6;6;0;0;3;2010;30/03/2010;
15574;5663;5;1203;;8;30;0;30;-1;3;2010;30/03/2010;8
15575;5664;5;1203;;60;15;0;15;-1;3;2010;30/03/2010;8
15576;5665;5;1203;;8;30;0;30;-1;3;2010;30/03/2010;8
15577;5666;5;1203;;60;3;0;3;-1;3;2010;30/03/2010;8
15578;5667;5;1203;;20;20;0;20;-1;3;2010;30/03/2010;8
15579;5668;5;1203;;90;6;0;6;-1;3;2010;30/03/2010;8
15580;5677;6;;1255;85;11;11;0;0;3;2010;03/03/2010;
15581;5674;6;;1255;42;5;5;0;0;3;2010;03/03/2010;
